ID,Color,Fruit,Seed_number,Seed_Mass,Seeds_plated,molded,Germinated,Total_Seeds_end,Comments
WK37b,O,0,0,0,,,,,
WK37b,B,0,0,0,,,,,
WK37b,G,0,0,0,,,,,
WK38,G,1,8,1.148,7,0,0,7,
WK38,B,0,0,0,,,,,
WK38,O,0,0,0,,,,,
WK39,R,1,6,0.841,6,0,0,6,
WK39,G,1,1,0.145,1,0,0,1,
WK39,O,0,0,0,,,,,
WK39,B,0,0,0,,,,,
WK4,G,0,0,0,,,,,
WK4,B,0,0,0,,,,,
WK4,O,0,0,0,,,,,
WK40,R,1,13,1.253,12,4,0,12,
WK40,G,1,6,0.677,5,3,0,5,
WK40,B,0,0,0,,,,,
WK40,O,0,0,0,,,,,
WK41,G,1,29,3.747,27,0,22,22,
WK41,B,1,6,0.997,6,0,0,6,
WK41,R,0,0,0,,,,,
WK41,O,0,0,0,,,,,
WK41x,G,1,8,1.256,8,4,1,8,
WK41x,B,0,0,0,,,,,
WK41x,O,0,0,0,,,,,
WK42,G,1,16,1.642,16,0,0,16,
WK42,B,1,2,0.054,2,0,0,2,
WK42,O,0,0,0,,,,,
WK43,B,0,0,0,,,,,
WK43,R,0,0,0,,,,,
WK43,G,0,0,0,,,,,
WK43,O,0,0,0,,,,,
WK44,G,1,12,1.543,12,2,3,12,
WK44,B,1,12,1.458,12,1,0,12,
WK44,R,0,0,0,,,,,
WK45,G,1,9,1.443,9,0,7,9,
WK45,B,1,6,0.652,6,0,0,6,
WK45,O,0,0,0,,,,,
WK45,R,0,0,0,,,,,
WK46,R,0,0,0,,,,,
WK46,O,0,0,0,,,,,
WK46,G,0,0,0,,,,,
WK46,B,0,0,0,,,,,
WK47,G,1,10,1.196,9,5,0,7,
WK47,O,0,0,0,,,,,
WK47,B,0,0,0,,,,,
WK47,R,0,0,0,,,,,
WK47b,G,1,6,0.878,6,5,0,6,
WK47b,O,0,0,0,,,,,
WK47b,B,0,0,0,,,,,
WK48,G,1,23,2.752,19,0,14,19,
WK48,O,0,0,0,,,,,
WK48,B,0,0,0,,,,,
WK48,R,0,0,0,,,,,
WK48b,G,1,19,3.407,19,2,10,18,5 seeds darker colored
WK48b,O,1,12,2.458,12,1,8,12,
WK48b,B,0,0,0,,,,,
WK5,G,1,16,1.694,16,6,0,16,
WK5,B,0,0,0,,,,,
WK5,O,0,0,0,,,,,
WK6,O,0,0,0,,,,,
WK6,B,0,0,0,,,,,
WK6,G,0,0,0,,,,,
WK7,G,1,9,1.201,9,7,0,9,
WK7,O,0,0,0,,,,,
WK7,B,0,0,0,,,,,
WK8,B,0,0,0,,,,,
WK8,G,0,0,0,,,,,
WK8,O,0,0,0,,,,,
WK9,B,0,0,0,,,,,
WK9,R,0,0,0,,,,,
WK9,G,0,0,0,,,,,
WK9,O,0,0,0,,,,,
